query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1445788801,565,34306,0,0,164,33945,3008,4199,34,49
1445796001,540,30352,0,0,173,30055,3014,4284,31,36
1445803201,615,27253,0,0,176,27000,3013,4400,38,58
1445810401,493,25537,0,0,160,25315,2998,4369,31,75
1445817601,457,23984,0,0,131,23820,2971,4368,30,90
1445824801,442,23070,0,0,110,22919,2963,4204,29,83
1445832001,450,24422,0,0,111,24258,2970,4204,27,44
1445839201,464,26089,0,0,112,25930,2977,4471,11,13
1445846401,514,30090,0,0,149,29845,3026,4707,46,55
1445853601,551,34498,0,0,142,34200,3050,5001,65,150
1445860801,619,37947,0,0,138,37620,3054,5103,73,200
1445868001,600,42899,0,0,140,42500,3060,5019,76,235
1445875201,630,43075,0,0,157,42670,3075,4760,81,214
1445882401,623,43903,0,0,163,43525,3085,4876,64,126
1445889601,625,43589,0,0,165,43233,3096,4821,60,93
1445896801,601,38620,0,0,146,38312,3074,4636,43,65
1445904001,528,34074,0,0,118,33871,3037,4570,28,39
1445911201,519,29667,0,0,103,29526,3011,4196,14,15
1445918401,499,28236,0,0,102,28105,3005,4177,5,9
1445925601,512,28288,0,0,98,28167,3001,4453,9,13
1445932801,569,31950,0,0,110,31776,3029,4566,35,39
1445940001,553,34957,0,0,111,34709,3056,4553,42,43
1445947201,537,35660,0,0,114,35398,3069,4658,37,42
1445954401,552,37722,0,0,114,37449,3071,4439,40,80
1445961601,598,37271,0,0,119,36952,3071,4249,37,64
1445968801,552,36627,0,0,121,36315,3073,4375,45,79
1445976001,546,37411,0,0,115,37097,3070,4379,43,73
1445983201,659,35270,0,0,109,34958,3069,4535,22,33
1445990401,602,32311,0,0,103,32085,3050,4722,10,14
1445997601,566,31361,0,0,90,31153,3041,4689,3,3
1446004801,529,31174,0,0,89,30958,3039,4612,4,4
1446012001,554,35347,0,0,94,35105,3054,4695,5,6
1446019201,726,40815,0,0,107,40493,3089,4750,26,34
1446026401,673,41702,0,0,123,41343,3109,4821,25,34
